country,sector,year,n_facilities,mean_emissions,std_emissions,cv,p10,p25,p50,p75,p90,p90_p10_ratio,p90_p50_ratio,p50_p10_ratio,gini,min,max
AT,Aircraft operator activities,2023,14,229244.7142857143,579097.9384021607,2.5261125003755343,131.60000000000002,740.5,8147.0,22102.0,670596.2000000009,5095.715805471131,82.31204124217514,61.907294832826736,-0.8662656722506054,1.0,2137370.0
AT,Combustion installations with a rated thermal input exceeding 20 MW,2005,24,53709.416666666664,206709.04149248786,3.8486554932326493,567.7,2170.25,7681.0,11792.25,44987.49999999997,79.24519992954019,5.85698476760838,13.530033468381186,-0.8761734958539756,328.0,1042346.0
AT,Combustion installations with a rated thermal input exceeding 20 MW,2006,24,33950.666666666664,126070.80613477582,3.7133528885473774,413.20000000000005,1572.25,6644.5,11036.5,12618.8,30.539206195546946,1.8991346226202122,16.08059051306873,-0.8547103476940398,54.0,636604.0
AT,Combustion installations with a rated thermal input exceeding 20 MW,2007,23,7124.04347826087,9443.98997972997,1.3256502446326237,84.0,719.0,5548.0,10537.5,11455.800000000001,136.37857142857143,2.0648521989906277,66.04761904761905,-0.5698957628775951,4.0,46013.0
AT,Combustion installations with a rated thermal input exceeding 20 MW,2008,19,13004.421052631578,26783.57449772801,2.0595745392531777,174.6,2648.5,7295.0,9580.5,14159.39999999999,81.09621993127142,1.9409732693625759,41.78121420389462,-0.6528122973734054,14.0,124077.0
AT,Combustion installations with a rated thermal input exceeding 20 MW,2009,21,11432.142857142857,20290.5336625956,1.7748670495241388,527.0,2039.0,5114.0,8994.0,12006.0,22.78178368121442,2.3476730543605786,9.703984819734345,-0.6480506587723083,62.0,90000.0
AT,Combustion installations with a rated thermal input exceeding 20 MW,2010,21,19623.95238095238,38634.81782201891,1.9687582334086309,428.0,2170.0,7947.0,10062.0,50000.0,116.82242990654206,6.291682395872656,18.567757009345794,-0.7183153356367336,33.0,167048.0
AT,Combustion installations with a rated thermal input exceeding 20 MW,2011,21,17561.095238095237,33158.696280742835,1.8881906755343918,176.0,1803.0,6404.0,9970.0,50000.0,284.09090909090907,7.807620237351655,36.38636363636363,-0.7221498047051287,30.0,134786.0
AT,Combustion installations with a rated thermal input exceeding 20 MW,2012,20,15470.7,26876.896696047334,1.737277349832091,200.20000000000002,1647.0,5055.0,9925.25,53928.300000000054,269.37212787212815,10.668308605341258,25.249750249750246,-0.7103211231553841,26.0,90000.0
AT,Combustion of fuels,2005,77,199911.01298701297,441486.2654164787,2.208413927876797,2267.4,12457.0,28562.0,91548.0,660608.2000000004,291.3505336508778,23.128919543449353,12.59680691540972,-0.7911975164230517,116.0,2685336.0
AT,Combustion of fuels,2006,76,191282.44736842104,434007.9753660365,2.2689378002891822,2034.5,12416.5,27741.0,89785.5,623119.0,306.27623494716147,22.462023719404492,13.63529122634554,-0.7917208560498638,291.0,2722016.0
AT,Combustion of fuels,2007,78,179856.12820512822,439782.94268394815,2.4451929832625448,2165.3,7846.5,24188.0,82664.5,423692.3999999993,195.6737634507917,17.516636348602585,11.170738465801504,-0.8073311434977005,31.0,2863003.0
AT,Combustion of fuels,2008,81,177446.9135802469,411364.272071114,2.318238529886193,3841.0,10342.0,24202.0,140749.0,622373.0,162.0341057016402,25.71576729195934,6.300963290809685,-0.7874183966524805,12.0,2859839.0
AT,Combustion of fuels,2009,82,154806.1219512195,342781.1400607195,2.214260881547903,2594.7,8807.0,25448.5,88850.5,434051.40000000026,167.28384784368146,17.056070102363606,9.807877596639305,-0.78024127786697,52.0,2304427.0
AT,Combustion of fuels,2010,81,188400.44444444444,462418.40938253806,2.454444365808787,2179.0,9032.0,25117.0,99409.0,482908.0,221.61909132629646,19.226340725405105,11.526847177604406,-0.8048270656176486,23.0,3213138.0
