country,sector,year,median,p25,premium_pct,cv,gini
Austria,41 Production of ammonia,2016.0,945034.0,945034.0,0.0,0.0,0.0
Austria,41 Production of ammonia,2017.0,880922.0,880922.0,0.0,0.0,0.0
Austria,41 Production of ammonia,2018.0,705651.0,705651.0,0.0,0.0,0.0
Austria,41 Production of ammonia,2019.0,962179.0,962179.0,0.0,0.0,0.0
Austria,41 Production of ammonia,2020.0,912724.0,912724.0,0.0,0.0,0.0
Austria,41 Production of ammonia,2021.0,876301.0,876301.0,0.0,0.0,0.0
Austria,41 Production of ammonia,2022.0,761076.0,761076.0,0.0,0.0,0.0
Austria,41 Production of ammonia,2023.0,803052.0,803052.0,0.0,0.0,0.0
Austria,42 Production of bulk chemicals,2015.0,60923.0,60923.0,0.0,0.0,0.0
Austria,42 Production of bulk chemicals,2016.0,155833.0,155833.0,0.0,0.0,0.0
Austria,42 Production of bulk chemicals,2017.0,152761.0,152761.0,0.0,0.0,0.0
Austria,42 Production of bulk chemicals,2018.0,153735.0,153735.0,0.0,0.0,0.0
Austria,42 Production of bulk chemicals,2019.0,153034.0,153034.0,0.0,0.0,0.0
Austria,42 Production of bulk chemicals,2020.0,154012.0,154012.0,0.0,0.0,0.0
Austria,42 Production of bulk chemicals,2021.0,150304.0,150304.0,0.0,0.0,0.0
Austria,42 Production of bulk chemicals,2022.0,146746.0,146746.0,0.0,0.0,0.0
Austria,42 Production of bulk chemicals,2023.0,111846.0,111846.0,0.0,0.0,0.0
Austria,99 Other activity opted-in under Art. 24,2015.0,113576.0,113576.0,0.0,0.0,0.0
Austria,99 Other activity opted-in under Art. 24,2016.0,111142.0,111142.0,0.0,0.0,0.0
Austria,99 Other activity opted-in under Art. 24,2017.0,124051.0,124051.0,0.0,0.0,0.0
Austria,99 Other activity opted-in under Art. 24,2018.0,111573.0,111573.0,0.0,0.0,0.0
Austria,99 Other activity opted-in under Art. 24,2019.0,106887.0,106887.0,0.0,0.0,0.0
Austria,99 Other activity opted-in under Art. 24,2020.0,99480.0,99480.0,0.0,0.0,0.0
Austria,99 Other activity opted-in under Art. 24,2021.0,102140.0,102140.0,0.0,0.0,0.0
Austria,99 Other activity opted-in under Art. 24,2022.0,111550.0,111550.0,0.0,0.0,0.0
Austria,99 Other activity opted-in under Art. 24,2023.0,89902.0,89902.0,0.0,0.0,0.0
Belgium,10 Aviation,2015.0,1356658.0,1356658.0,0.0,0.0,0.0
Belgium,10 Aviation,2016.0,1463135.0,1463135.0,0.0,0.0,0.0
Belgium,10 Aviation,2017.0,1538462.0,1538462.0,0.0,0.0,0.0
Belgium,10 Aviation,2018.0,1528280.0,1528280.0,0.0,0.0,0.0
Belgium,10 Aviation,2019.0,1383003.0,1383003.0,0.0,0.0,0.0
Belgium,10 Aviation,2020.0,559013.0,282741.5,49.42130147241656,0.6950065063233167,-0.3295194845232601
Belgium,10 Aviation,2021.0,735840.0,372532.0,49.37323331158947,0.6940170640416022,-0.3292066184918341
Belgium,10 Aviation,2022.0,1003813.0,506930.0,49.49955818464196,0.6966224396905021,-0.3300301159265908
Belgium,10 Aviation,2023.0,1048382.0,530095.5,49.436798800437245,0.6953260118473146,-0.3296204803348326
Belgium,20 Combustion of fuels,2015.0,16053800.0,16053800.0,0.0,0.0,0.0
Belgium,20 Combustion of fuels,2016.0,15027777.0,15027777.0,0.0,0.0,0.0
Belgium,20 Combustion of fuels,2017.0,15093036.0,15093036.0,0.0,0.0,0.0
Belgium,20 Combustion of fuels,2018.0,15275363.0,15275363.0,0.0,0.0,0.0
Belgium,20 Combustion of fuels,2019.0,15966153.0,15966153.0,0.0,0.0,0.0
Belgium,20 Combustion of fuels,2020.0,14834065.0,14834065.0,0.0,0.0,0.0
Belgium,20 Combustion of fuels,2021.0,13708348.0,13708348.0,0.0,0.0,0.0
Belgium,20 Combustion of fuels,2022.0,14485700.0,14485700.0,0.0,0.0,0.0
Belgium,20 Combustion of fuels,2023.0,11383679.0,11383679.0,0.0,0.0,0.0
Belgium,20-99 All stationary installations,2015.0,44713915.0,44713915.0,0.0,0.0,0.0
Belgium,20-99 All stationary installations,2016.0,43655728.0,43655728.0,0.0,0.0,0.0
Belgium,20-99 All stationary installations,2017.0,43772976.0,43772976.0,0.0,0.0,0.0
Belgium,20-99 All stationary installations,2018.0,44182748.0,44182748.0,0.0,0.0,0.0
Belgium,20-99 All stationary installations,2019.0,44627186.0,44627186.0,0.0,0.0,0.0
Belgium,20-99 All stationary installations,2020.0,41511577.0,41511577.0,0.0,0.0,0.0
Belgium,20-99 All stationary installations,2021.0,41428954.0,41428954.0,0.0,0.0,0.0
Belgium,20-99 All stationary installations,2022.0,39722232.0,39722232.0,0.0,0.0,0.0
Belgium,20-99 All stationary installations,2023.0,35401056.0,35401056.0,0.0,0.0,0.0
