country,ymabs,sb_rate,comp3_rate,n,cohort,id
BG,24226,0.3414814814814815,0.5111111111111111,1350,24201,3
BG,24227,0.3838771593090211,0.43761996161228406,1042,24201,3
BG,24228,0.4261744966442953,0.43154362416107384,1490,24201,3
BG,24229,0.37659033078880405,0.46140797285835455,1179,24201,3
BG,24230,0.34790059982862037,0.50471293916024,1167,24201,3
BG,24231,0.3432950191570881,0.4835249042145594,1305,24201,3
BG,24232,0.3165863730213352,0.5519614590502409,1453,24201,3
BG,24233,0.34430379746835443,0.5063291139240507,1185,24201,3
BG,24234,0.3905109489051095,0.46715328467153283,1370,24201,3
BG,24235,0.2887624466571835,0.5846372688477952,1406,24201,3
BG,24236,0.43636363636363634,0.4251082251082251,1155,24201,3
BG,24237,0.5663716814159292,0.25663716814159293,113,24201,3
BG,24238,0.3654042988741044,0.4503582395087001,977,24201,3
BG,24239,0.3684210526315789,0.21052631578947367,38,24201,3
BG,24240,0.3978978978978979,0.43993993993993996,1332,24201,3
BG,24241,0.3555776892430279,0.4591633466135458,1004,24201,3
BG,24242,0.3699914748508099,0.484228473998295,1173,24201,3
BG,24243,0.48693126815101645,0.3814133591481123,1033,24201,3
BG,24244,0.44849589790337285,0.43938012762078393,1097,24201,3
BG,24245,0.31537356321839083,0.5387931034482759,1392,24201,3
BG,24246,0.39515455304928987,0.4578111946532999,1197,24201,3
BG,24247,0.3288166214995483,0.5239385727190605,1107,24201,3
BG,24248,0.360625,0.508125,1600,24201,3
BG,24249,0.3365570599613153,0.5286911669890393,1551,24201,3
BG,24250,0.2849122807017544,0.5726315789473684,1425,24201,3
BG,24251,0.38347622759158223,0.49571317225253314,1283,24201,3
CZ,24182,0.15384615384615385,0.5576923076923077,104,24195,4
CZ,24183,0.19113573407202217,0.5623268698060941,722,24195,4
CZ,24184,0.23573200992555832,0.5620347394540943,806,24195,4
CZ,24185,0.24652087475149106,0.5198807157057654,1006,24195,4
CZ,24186,0.3321878579610538,0.4570446735395189,873,24195,4
CZ,24187,0.3072289156626506,0.46586345381526106,996,24195,4
CZ,24188,0.36208530805687206,0.43507109004739336,1055,24195,4
CZ,24189,0.44902912621359226,0.3737864077669903,824,24195,4
CZ,24190,0.3988439306358382,0.3930635838150289,173,24195,4
CZ,24191,0.3014586709886548,0.526742301458671,1234,24195,4
CZ,24192,0.33207190160832545,0.554399243140965,1057,24195,4
CZ,24193,0.2854368932038835,0.49902912621359224,515,24195,4
CZ,24194,0.4088176352705411,0.4468937875751503,499,24195,4
CZ,24195,0.45454545454545453,0.386748844375963,649,24195,4
CZ,24196,0.30847457627118646,0.511864406779661,590,24195,4
CZ,24197,0.3278955954323002,0.48776508972267535,613,24195,4
CZ,24198,0.29003021148036257,0.5755287009063444,662,24195,4
CZ,24199,0.3553459119496855,0.4056603773584906,636,24195,4
CZ,24200,0.3147410358565737,0.4913678618857902,753,24195,4
CZ,24201,0.5428571428571428,0.37142857142857144,70,24195,4
CZ,24203,0.6179775280898876,0.02247191011235955,89,24195,4
CZ,24204,0.43780806030733543,0.3688025514641925,3449,24195,4
CZ,24205,0.31208499335989376,0.4847277556440903,753,24195,4
CZ,24206,0.3206806282722513,0.5314136125654451,764,24195,4
CZ,24207,0.4685423993747558,0.3767096522078937,2559,24195,4
CZ,24208,0.3076923076923077,0.2087912087912088,91,24195,4
CZ,24209,0.4431960049937578,0.40823970037453183,801,24195,4
CZ,24210,0.5249094202898551,0.3020833333333333,2208,24195,4
CZ,24211,0.37662337662337664,0.4935064935064935,77,24195,4
