country_code,country,main activity sector name,ETS information,year,value,unit
LV,Latvia,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2014,4128954,tonne of CO2 equ.
BE,Belgium,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2010,56025477,tonne of CO2 equ.
DE,Germany,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2023,215373196,tonne of CO2 equ.
CZ,Czechia,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2011,86427828,tonne of CO2 equ.
ES,Spain,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2012,154104531,tonne of CO2 equ.
LI,Liechtenstein,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2012,15747,tonne of CO2 equ.
LI,Liechtenstein,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2018,1048,tonne of CO2 equ.
PL,Poland,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2024,40725117,tonne of CO2 equ.
CY,Cyprus,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2008,4815089,tonne of CO2 equ.
IE,Ireland,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2023,5864966,tonne of CO2 equ.
InnoFund,Innovation fund,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2014,,tonne of CO2 equ.
FI,Finland,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2024,12433664,tonne of CO2 equ.
BE,Belgium,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2015,52578257,tonne of CO2 equ.
DK,Denmark,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2019,13755898,tonne of CO2 equ.
LI,Liechtenstein,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2020,34181,tonne of CO2 equ.
ModFund,Modernisation Fund,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2021,69377500,tonne of CO2 equ.
GR,Greece,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2011,76015014,tonne of CO2 equ.
IS,Iceland,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2011,0,tonne of CO2 equ.
LI,Liechtenstein,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2008,21102,tonne of CO2 equ.
ModFund,Modernisation Fund,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2013,,tonne of CO2 equ.
NER300,NER 300 auctions,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2006,0,tonne of CO2 equ.
PT,Portugal,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2014,23275206,tonne of CO2 equ.
XI,Northern Ireland,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2005,4726494,tonne of CO2 equ.
SK,Slovakia,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2024,12051138,tonne of CO2 equ.
BE,Belgium,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2022,37347221,tonne of CO2 equ.
DK,Denmark,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2009,23835136,tonne of CO2 equ.
NER300,NER 300 auctions,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2010,0,tonne of CO2 equ.
IE,Ireland,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2016,12786502,tonne of CO2 equ.
IS,Iceland,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2006,0,tonne of CO2 equ.
LU,Luxembourg,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2016,2244148,tonne of CO2 equ.
NER300,NER 300 auctions,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2015,0,tonne of CO2 equ.
RO,Romania,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2010,74989413,tonne of CO2 equ.
DE,Germany,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2015,302896610,tonne of CO2 equ.
LU,Luxembourg,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2010,2488433,tonne of CO2 equ.
NO,Norway,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2010,14336071,tonne of CO2 equ.
NO,Norway,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2017,16235617,tonne of CO2 equ.
RO,Romania,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2015,55072724,tonne of CO2 equ.
SE,Sweden,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2016,31588150,tonne of CO2 equ.
DE,Germany,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2017,347089438,tonne of CO2 equ.
IT,Italy,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2005,216150241,tonne of CO2 equ.
NO,Norway,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2015,17062716,tonne of CO2 equ.
PL,Poland,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2012,213031731,tonne of CO2 equ.
AT,Austria,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2012,30963812,tonne of CO2 equ.
IE,Ireland,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2006,20450593,tonne of CO2 equ.
LU,Luxembourg,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2006,3229321,tonne of CO2 equ.
NER300,NER 300 auctions,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2021,0,tonne of CO2 equ.
PL,Poland,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2020,173417153,tonne of CO2 equ.
CZ,Czechia,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2012,88975193,tonne of CO2 equ.
IE,Ireland,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2011,21763017,tonne of CO2 equ.
LU,Luxembourg,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2015,2172879,tonne of CO2 equ.
NER300,NER 300 auctions,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2016,0,tonne of CO2 equ.
PT,Portugal,21-99 All industrial installations (excl. combustion),1.1.1 Free allocation to existing entities (Art. 10a(1)),Total 2nd trading period (08-12),63381875,tonne of CO2 equ.
PT,Portugal,21-99 All industrial installations (excl. combustion),4. Total surrendered units,Total 2nd trading period (08-12),47556209,tonne of CO2 equ.
PT,Portugal,21-99 All industrial installations (excl. combustion),4.3 Surrendered emission reduction units (ERUs),Total 2nd trading period (08-12),3676249,tonne of CO2 equ.
PT,Portugal,24  Production of pig iron or steel,4.1 Surrendered EU allowances (EUAs and EUAAs),Total 2nd trading period (08-12),628655,tonne of CO2 equ.
PT,Portugal,29 Production of cement clinker,1.1.1 Free allocation to existing entities (Art. 10a(1)),Total 2nd trading period (08-12),35967468,tonne of CO2 equ.
PT,Portugal,"30 Production of lime, or calcination of dolomite/magnesite",1.1 Freely allocated allowances,Total 2nd trading period (08-12),197980,tonne of CO2 equ.
EE,Estonia,36 Production of paper or cardboard,2.1 EU-ETS Verified Emission,Total 2nd trading period (08-12),176464,tonne of CO2 equ.
FI,Finland,31 Manufacture of glass,1.1.1 Free allocation to existing entities (Art. 10a(1)),Total 3rd trading period (13-20),135605,tonne of CO2 equ.
FI,Finland,33 Manufacture of mineral wool,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),Total 3rd trading period (13-20),0,tonne of CO2 equ.
FI,Finland,33 Manufacture of mineral wool,1.1.3 Free allocation for modernisation of electricity generation (Art. 10c),Total 3rd trading period (13-20),0,tonne of CO2 equ.
FI,Finland,33 Manufacture of mineral wool,4.1 Surrendered EU allowances (EUAs and EUAAs),Total 3rd trading period (13-20),33429,tonne of CO2 equ.
FI,Finland,34 Production or processing of gypsum or plasterboard,1.1 Freely allocated allowances,Total 3rd trading period (13-20),166004,tonne of CO2 equ.
FI,Finland,34 Production or processing of gypsum or plasterboard,2.1 EU-ETS Verified Emission,Total 3rd trading period (13-20),122927,tonne of CO2 equ.
FI,Finland,35 Production of pulp,1.1 Freely allocated allowances,Total 3rd trading period (13-20),4263353,tonne of CO2 equ.
FI,Finland,35 Production of pulp,2.1 EU-ETS Verified Emission,Total 3rd trading period (13-20),2548967,tonne of CO2 equ.
HU,Hungary,24  Production of pig iron or steel,1.1.1 Free allocation to existing entities (Art. 10a(1)),Total 3rd trading period (13-20),11977170,tonne of CO2 equ.
DE,Germany,26 Production of primary aluminium,1.1.3 Free allocation for modernisation of electricity generation (Art. 10c),Total 3rd trading period (13-20),0,tonne of CO2 equ.
DE,Germany,27 Production of secondary aluminium,1.1.3 Free allocation for modernisation of electricity generation (Art. 10c),Total 3rd trading period (13-20),0,tonne of CO2 equ.
DE,Germany,28 Production or processing of non-ferrous metals,1.1.1 Free allocation to existing entities (Art. 10a(1)),Total 3rd trading period (13-20),8987337,tonne of CO2 equ.
DE,Germany,28 Production or processing of non-ferrous metals,2.1 EU-ETS Verified Emission,Total 3rd trading period (13-20),8091178,tonne of CO2 equ.
DE,Germany,29 Production of cement clinker,1.1.3 Free allocation for modernisation of electricity generation (Art. 10c),Total 3rd trading period (13-20),0,tonne of CO2 equ.
DE,Germany,29 Production of cement clinker,4.1 Surrendered EU allowances (EUAs and EUAAs),Total 3rd trading period (13-20),19769934,tonne of CO2 equ.
RO,Romania,32 Manufacture of ceramics,1.1.3 Free allocation for modernisation of electricity generation (Art. 10c),Total 3rd trading period (13-20),0,tonne of CO2 equ.
RO,Romania,36 Production of paper or cardboard,2.1 EU-ETS Verified Emission,Total 3rd trading period (13-20),1086589,tonne of CO2 equ.
