notice_id,ocid,contract_id,country,country_name,year,dispatch_date,award_date,tender_date,month,quarter,time_to_award_days,value_eur,value_usd,estimated_value_eur,value_local,currency_local,procedure_type,procurement_method,procurement_method_details,contract_type,is_framework,is_dps,buyer_id,buyer_name,buyer_address,buyer_city,buyer_postal_code,buyer_type,main_activity,supplier_id,supplier_name,supplier_address,supplier_city,supplier_postal_code,supplier_country,supplier_is_sme,n_bidders,n_bidders_sme,n_bidders_other_eu,n_bidders_non_eu,n_bidders_electronic,single_bidder,competitive,cpv_code,cpv_main,cpv_division,cpv_group,cpv_additional,nuts_code,gpa_covered,lot_number,lots_total,contract_number,contract_title,award_id,award_criteria,price_weight,info_non_award,awarded_to_group,flag_cancelled,flag_correction,flag_missing_value,flag_missing_dates,data_source
2016100001,ocds-ted-eu-2016100001,2016100001-nan,UK,United Kingdom,2016,None,None,None,None,None,None,24405720.7,27090349.977,,24405720.7,EUR,Restricted,limited,RES,Services,True,False,nan,Salford City Council,Unity House; Chorley Road,Salford,M27 5AW,Body governed by public law,Not specified,nan,Canon UK Limited,Cockshot Hill,Reigate,RH2 8BF,UK,False,,,,,,None,None,22000000.0,22000,22,220,79822500,nan,False,nan,0.0,nan,nan,7333007.0,Most economically advantageous,,nan,False,False,False,False,True,EU_TED
201987874,ocds-ted-eu-201987874,201987874-26,SI,Slovenia,2018,2019-02-20 00:00:00,2018-12-31 00:00:00,2019-02-20 00:00:00,2,1,nan,375.38,442.9484,,375.38,EUR,Open,open,OPE,Supplies,False,False,5090091000,Osnovna šola Bovec,Trg golobarskih žrtev 17,Bovec,5230,Public undertaking,Education,1121499000---5879612000,"KVIBO, družba za trgovino in storitve, d.o.o.---PEKARNA PEČJAK d.o.o.",Mlaka 2A---Dolenjska cesta 442,Tržič---Škofljica,4290---1291,SI---SI,False,2.0,1.0,0.0,0.0,2.0,False,True,15800000,15800,15,158,15896000,SI,False,26,36.0,430-2/2018,26. sklop: zamrznjena živila,10307659.0,Most economically advantageous,,nan,True,False,False,False,False,EU_TED
2009102489,ocds-ted-eu-2009102489,2009102489-nan,IT,Italy,2009,None,None,None,None,None,None,3732.63,5188.3557,3732.63,3732.63,EUR,Open,open,OPE,Supplies,False,False,nan,Azienda Ospedaliera San Paolo,via Antonio di Rudinì 8,Milano,20142,Body governed by public law,Health,nan,SALF SpA,via Marconi 2,Cenate Sotto,24069,IT,False,3.0,,,,,False,True,33600000.0,33600,33,336,nan,ITC45,False,nan,0.0,Lotto 589,nan,2844674.0,Lowest price,100.0,nan,False,False,False,False,True,EU_TED
,ocds-ted-eu-676912,-573,RO,Romania,2020,2020-07-22 00:00:00,None,2020-07-22 00:00:00,7,3,None,2680986.38,3056324.4731999994,,2680986.38,EUR,Open,open,OPE,Supplies,True,False,4688639,Ministerul Apărării Naționale – Unitatea Militară 02474 – Spitalul Militar de Urgență „Regina Maria”,Str. Pieții nr. 9,Brașov,500007,Public undertaking,Defence,,,,,,,False,,,,,,None,None,33600000,33600,33,336,33621100,RO122,True,573,700.0,,,,Lowest price,,,False,False,False,False,True,EU_TED
2019181564,ocds-ted-eu-2019181564,2019181564-nan,SE,Sweden,2019,2019-04-16 00:00:00,2019-04-01 00:00:00,2019-04-16 00:00:00,4,2,nan,188873.46,211538.2752,283310.2,188873.46,EUR,Open,open,OPE,Services,False,False,556479-5598,Chalmers Tekniska Högskola Aktiebolag,Arvid Hedvalls backe 4,Göteborg,412 96,Utilities,Education,559039-7526,Dahlbäck/Söderberg AB,Norra Allégatan 8,GÖTEBORG,41301,SE,True,11.0,,,,11.0,False,True,79822500,79822,79,798,79340000---79820000,SE232,True,nan,3.0,nan,nan,10425991.0,Most economically advantageous,,nan,False,False,False,False,False,EU_TED
,ocds-ted-eu-715572,-188,RO,Romania,2023,2023-07-28 00:00:00,None,2023-07-28 00:00:00,7,3,None,1422372.19,1536161.9652,,1422372.19,EUR,Open,open,OPE,Supplies,True,False,4266006,"INSTITUTUL NATIONAL DE RECUPERARE, MEDICINA FIZICA SI BALNEOCLIMATOLOGIE","Strada: Sfântul Dumitru, nr. 2",Bucuresti,030079,Central government,Health,,,,,,,False,,,,,,None,None,33690000,33690,33,336,33690000,RO321,False,188,259.0,,,,Lowest price,,,False,False,False,False,True,EU_TED
2013360986,ocds-ted-eu-2013360986,2013360986-nan,UK,United Kingdom,2013,None,None,None,None,None,None,,,,,EUR,Open,open,OPE,Services,False,False,nan,Nottinghamshire County Council,County Hall Loughborough Road,Westbridgford,NG2 7QP,Body governed by public law,General public\services,nan,Keyworth Primary & Nursery School,nan,nan,nan,UK,False,78.0,,,,,False,True,80110000.0,80110,80,801,80000000---85000000,UKF1,False,nan,2.0,31,Expansion of Free Early Education for Two Year Olds in Nottinghamshire,5979032.0,Most economically advantageous,,nan,False,False,False,True,True,EU_TED
,ocds-ted-eu-7434020,-3,PL,Poland,2018,2023-08-04 00:00:00,None,2023-08-04 00:00:00,8,3,None,1160338.07,1369198.9226,,1160338.07,EUR,Open,open,OPE,Services,False,False,879-00-11-739,Nadleśnictwo Cierpiszewo,ul. Sosnowa 42,Cierpice,87-165,Utilities,Other,,,,,,,False,,,,,,None,None,77210000.0,77210,77,772,77210000---77211000---77211100---77211200---77211400---45100000,PL613,False,3,7.0,,,,Lowest price,,,False,False,False,False,True,EU_TED
,ocds-ted-eu-5202,-nan,DE,Germany,2009,None,None,None,None,None,None,,,,,EUR,NEC,limited,NEC,Services,True,False,nan,Kassenärztliche Vereinigung Rheinland-Pfalz,Isaac-Fulda-Allee 14,Mainz,55124,Public undertaking,Health,,,,,,,False,,,,,,None,None,22100000.0,22100,22,221,None,DEB35,False,nan,0.0,,,,Most economically advantageous,,,False,False,False,True,True,EU_TED
20205423,ocds-ted-eu-20205423,20205423-nan,DE,Germany,2020,2020-01-06 00:00:00,2019-12-17 00:00:00,2020-01-06 00:00:00,1,1,nan,0.01,0.011399999999999999,,0.01,EUR,Open,open,OPE,Services,False,False,nan,Landkreis Kassel – Der Kreisausschuss,Garnisonstraße 6,Hofgeismar,34369,Body governed by public law,General public\services,nan,"WOM, Security & Service GmbH",Otto-Volger-Str. 15,Sulzbach,65843,DE,True,9.0,9.0,0.0,0.0,9.0,False,True,79710000,79710,79,797,79715000,DE734,True,nan,1.0,1,Sicherheitsdienstleistungen in den Flüchlingsunterkünften des Landkreises Kassel in Wolfhagen mit kombinierten Streifendienst für die Berufliche Schule Wolfhagen.,11120766.0,Most economically advantageous,80.0,nan,False,False,False,False,False,EU_TED
