country,nace,year,ghg_tht,gva_meur,intensity_kg_eur
AT,R,2012,70.77576,3289.5,0.021516
AT,R,2013,70.67815,3308.8,0.021361
AT,R,2014,69.34362,3395.5,0.020422
AT,R,2015,71.18627,3488.2,0.020408
AT,R,2016,72.44176,3359.0,0.021566
AT,R,2017,86.17394,3530.5,0.024408
AT,R,2018,107.06577,3641.3,0.029403
AT,R,2019,110.53225,3833.0,0.028837
AT,R,2020,114.76461,2755.1,0.041655
AT,R,2021,118.82999,2972.0,0.039983
AT,R,2022,140.0258,4015.1,0.034875
AT,R,2023,140.12895,4338.2,0.032301
AT,R90-R92,2012,48.62648,2180.8,0.022298
AT,R90-R92,2013,48.5704,2174.8,0.022333
AT,R90-R92,2014,47.75196,2244.3,0.021277
AT,R90-R92,2015,48.08441,2324.0,0.020690
AT,R90-R92,2016,50.12045,2225.3,0.022523
AT,R90-R92,2017,55.25992,2352.7,0.023488
AT,R90-R92,2018,71.53472,2414.9,0.029622
AT,R90-R92,2019,71.71719,2560.2,0.028012
AT,R90-R92,2020,75.71264,1856.5,0.040782
AT,R90-R92,2021,80.97154,2026.9,0.039948
AT,R90-R92,2022,96.6046,2585.2,0.037368
AT,R90-R92,2023,98.44598,2771.6,0.035520
AT,R93,2012,22.14929,1108.7,0.019978
AT,R93,2013,22.10775,1134.0,0.019495
AT,R93,2014,21.59166,1151.2,0.018756
AT,R93,2015,23.10186,1164.1,0.019845
AT,R93,2016,22.32131,1133.7,0.019689
AT,R93,2017,30.91402,1177.8,0.026247
AT,R93,2018,35.53105,1226.4,0.028972
AT,R93,2019,38.81506,1272.8,0.030496
AT,R93,2020,39.05197,898.7,0.043454
AT,R93,2021,37.85846,945.1,0.040058
AT,R93,2022,43.42121,1429.9,0.030367
AT,R93,2023,41.68297,1566.6,0.026607
AT,S,2012,82.15075,4132.5,0.019879
AT,S,2013,67.04813,4259.8,0.015740
AT,S,2014,78.91969,4318.0,0.018277
AT,S,2015,80.74641,4460.9,0.018101
AT,S,2016,82.94305,4637.3,0.017886
AT,S,2017,106.06941,4858.7,0.021831
AT,S,2018,108.8326,5081.3,0.021418
AT,S,2019,194.70704,5250.4,0.037084
AT,S,2020,196.47268,4944.2,0.039738
AT,S,2021,145.86802,5106.2,0.028567
AT,S,2022,153.22084,5889.9,0.026014
AT,S,2023,142.10202,6461.7,0.021991
AT,S94,2012,17.15176,2090.8,0.008203
AT,S94,2013,14.18786,2179.1,0.006511
AT,S94,2014,10.33826,2174.3,0.004755
AT,S94,2015,12.43428,2255.2,0.005514
AT,S94,2016,16.64131,2346.6,0.007092
AT,S94,2017,33.40402,2540.0,0.013151
AT,S94,2018,45.85145,2668.1,0.017185
AT,S94,2019,105.54233,2767.5,0.038136
AT,S94,2020,103.79468,2766.1,0.037524
AT,S94,2021,77.61975,2928.3,0.026507
AT,S94,2022,82.01423,3138.7,0.026130
AT,S94,2023,76.95032,3555.7,0.021641
AT,S95,2012,7.09693,160.9,0.044108
AT,S95,2013,6.85651,163.8,0.041859
AT,S95,2014,6.90261,170.5,0.040485
AT,S95,2015,5.53932,180.1,0.030757
AT,S95,2016,3.5785,182.9,0.019565
AT,S95,2017,3.48524,164.3,0.021213
AT,S95,2018,3.50831,182.8,0.019192
AT,S95,2019,3.13651,161.2,0.019457
AT,S95,2020,3.39771,148.4,0.022896
AT,S95,2021,1.88221,151.2,0.012448
AT,S95,2022,2.30686,167.9,0.013739
