nkey,emis_t,n_install,nace,example_eutl,n_contracts,sb_rate,cpv,example_proc,log_emis
EUROVIA INFRASTRUCTURE,6183.125,1,8.,Eurovia Infrastructure Limited,193,0.010362694300518135,45,Eurovia Infrastructure Ltd,8.729579086077488
EUSTREAM A S,286827.5,5,49,"eustream, a.s.",3,1.0,65,eustream; a.s.,12.566636268745457
EVOLVE,5855.375,1,35,Evolve srl,99,0.1919191919191919,33,Evolve Ltd,8.675115321803217
EWE ENERGIE,5389.0,1,35,EWE ENERGIE AG,30,0.36666666666666664,93,EWE Energie AG,8.592115117933497
EXPUR,2054.2,2,10,EXPUR SA,3,0.0,71,Expur SA,7.627641756731704
EXTRACO CONSTRUCCI NS E PROXECTOS S A,1323.7777777777778,1,42,"Extraco Construccións e proxectos, S.A.",3,0.0,45,"Extraco, Construccións e Proxectos, S. A.",7.188244880852413
EZ A S,15155851.487301586,13,35,"ČEZ, a. s.",19,0.8947368421052632,41,ČEZ; a.s.,16.53389725213501
EZ ENERGETICK SLU BY S R O,10123.25,1,35,"ČEZ Energetické služby, s.r.o.",41,0.36585365853658536,50,ČEZ Energetické služby; s.r.o.,9.222590037530098
EZ TEPL RENSK A S,23672.625,2,35,"ČEZ Teplárenská, a.s.",12,0.9166666666666666,65,ČEZ Teplárenská; a.s.,10.072074596232351
F BRICA NACIONAL DE MONEDA Y TIMBRE,2973.1111111111113,1,17,Fábrica Nacional de Moneda y Timbre,9,0.8888888888888888,30,Fábrica Nacional de Moneda y Timbre,7.997364195697346
FA GEBR VAN DER LEE,7064.777777777777,1,23,Fa. Gebr. Van der Lee,65,0.0,45,Fa. Gebr. van der Lee,8.862876840664674
FAIRENERGIE,26005.6,1,35,FairEnergie GmbH,42,0.3333333333333333,91,FairEnergie GmbH,10.166067178427067
FAKULTN NEMOCNICE V MOTOLE,13509.4,1,86,Fakultní nemocnice v Motole,5,0.8,33,Fakultní nemocnice v Motole,9.51114101842102
FALCO,8168.2,1,16,FALCO Zrt.,25,0.32,90,FALCO,9.008003845342966
FANTONI,105566.5,1,16,FANTONI SpA,9,0.2222222222222222,39,Fantoni AG,11.567096365076194
FASSA,367771.0,4,23,FASSA SRL,4,0.5,24,Fassa Srl,12.81521574084419
FAXE KALK A S,44228.5,1,23,Faxe Kalk A/S,34,0.5,44,Faxe Kalk A/S,10.697124656654012
FCC CONSTRUCCI N S A,795.0,1,42,"FCC CONSTRUCCIÓN, S.A",137,0.0364963503649635,45,FCC Construcción; S.A.,6.678342114654332
FCS FLIGHT CALIBRATION SERVICES,312.0,1,51,FCS Flight Calibration Services GmbH,4,0.5,80,fcs Flight Calibration Services Gmbh,5.7430031878094825
FEDRIGONI S P A,273244.6111111111,7,17,FEDRIGONI S.p.A.,9,0.7777777777777778,22,Fedrigoni S.p.A.,12.51812268438452
FELS WERKE,1829763.4,11,23,Fels-Werke GmbH,38,0.13157894736842105,24,Fels-Werke GmbH,14.419697226841494
FERRARI,46363.6,1,35,Ferrari SpA,70,0.11428571428571428,45,Ferrari,10.744269947588105
FIDIA FARMACEUTICI S P A,11142.0,1,21,Fidia Farmaceutici S.p.A.,49,0.6530612244897959,33,Fidia Farmaceutici S.p.A.,9.31847703058076
FINNAIR,684369.0,1,51,Finnair Oyj,406,0.6748768472906403,60,Finnair Oyj,13.436252524825283
FIRTEC S A,1313.0,1,23,"FIRTEC, S.A.",9,0.0,50,Firtec; S.A.,7.180069874302796
FJERNVARME FYN AFFALDSENERGI A S,135383.77777777778,1,35,Fjernvarme Fyn Affaldsenergi A/S,21,0.5714285714285714,90,Fjernvarme Fyn Affaldsenergi A/S,11.815868822664973
FJERNVARME HORSENS A S,55636.2,1,35,FJERNVARME HORSENS A/S,6,0.3333333333333333,90,Fjernvarme Horsens A/S,10.926589347515296
FLUGHAFEN K LN BONN,5882.9,1,35,Flughafen Köln/Bonn GmbH,3,1.0,71,Flughafen Köln/Bonn GmbH,8.67980511658978
FLUGHAFEN M NCHEN,71411.1,1,52,Flughafen München GmbH,6,0.3333333333333333,45,Flughafen München GmbH,11.176208598429557
