country,ym,cpv_division,n,sb,ge3,sum_offers
CZ,201602,16,1,0,1,4
UK,201602,22,88,0,80,2280
CZ,201602,48,9,4,5,36
CZ,201602,38,4,3,1,6
PT,201602,31,14,0,10,48
CZ,201602,09,4,2,2,13
UK,201602,15,13,4,6,34
DK,201602,43,4,0,4,16
BE,201602,98,2,0,1,7
PT,201602,14,1,0,1,3
PL,201602,42,45,11,29,143
BG,201602,41,2,2,0,2
PL,201602,14,22,0,17,68
ES,201602,34,17,4,8,51
IE,201602,48,6,0,6,31
FR,201602,51,5,0,3,19
ES,201602,76,1,0,1,4
LT,201602,90,2,0,2,10
LT,201602,85,1,1,0,1
DE,201602,77,19,1,15,169
SI,201602,72,5,1,2,11
LV,201602,79,3,0,3,14
SE,201602,09,1,0,1,4
GR,201602,60,21,4,14,151
BG,201602,42,6,2,3,17
FI,201602,18,2,0,2,10
GR,201602,31,1,0,1,6
DK,201602,76,1,0,0,2
IT,201602,24,4,1,2,14
MK,201602,30,5,0,5,40
MK,201602,44,29,0,29,319
NO,201602,66,10,0,6,37
CH,201602,09,1,0,1,4
CH,201602,51,1,0,1,5
CH,201602,66,1,0,1,4
CH,201602,72,4,0,4,23
IE,201601,79,48,0,48,192
FR,201601,45,152,19,112,636
FR,201601,60,20,0,19,181
FR,201601,09,6,1,3,16
DE,201602,70,1,0,1,3
FR,201601,15,70,10,50,232
FR,201601,32,8,4,2,28
IT,201601,34,4,2,2,14
HR,201601,33,2,2,0,2
IT,201601,22,7,5,0,9
RO,201601,65,1,0,1,3
IT,201601,38,7,3,1,13
IT,201601,24,1,1,0,1
RO,201601,33,107,15,79,791
HR,201601,19,1,0,1,4
IT,201601,33,29,5,23,154
IT,201601,30,3,2,0,4
HU,201602,15,24,7,14,67
FR,201601,24,10,0,2,22
FR,201601,44,20,1,16,66
FR,201601,30,7,0,1,15
FR,201601,34,39,12,14,94
FR,201601,19,2,0,0,4
FR,201601,92,5,0,5,37
FR,201601,42,9,3,4,21
BE,201601,30,2,0,2,9
ES,201601,22,1,1,0,1
NL,201601,22,2,0,1,7
ES,201601,35,4,2,1,7
NL,201601,35,1,0,1,5
ES,201601,30,1,0,1,5
NL,201601,34,5,0,5,31
FR,201601,39,15,1,11,46
ES,201601,16,1,0,1,6
